text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,screenName,retweetCount
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vCWWjxu0wb,FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,pratyushmayank,0
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,monojsaha6,15
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,NV_Handle,637
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,InnovativeHindu,30
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",FALSE,0,NA,23-11-2016 18:22,FALSE,NA,8.01491E+17,NA,InnovativeHindu,19
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,FALSE,0,NA,23-11-2016 18:21,FALSE,NA,8.01491E+17,NA,Minoritygender,120
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",FALSE,0,NA,23-11-2016 18:20,FALSE,NA,8.01491E+17,NA,BsBaban,270
"Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra… https://t.co/DuvbMtEi1Y",FALSE,0,NA,23-11-2016 18:19,TRUE,NA,8.0149E+17,NA,sventure007,0
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,FALSE,0,NA,23-11-2016 18:19,FALSE,NA,8.0149E+17,NA,US70707,41
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/5J6jZXbY81,FALSE,0,NA,23-11-2016 18:19,FALSE,NA,8.0149E+17,NA,UnRealMohit,0
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",FALSE,0,NA,23-11-2016 18:19,FALSE,NA,8.0149E+17,NA,vtushar1960,76
"RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…",FALSE,0,NA,23-11-2016 18:19,FALSE,NA,8.0149E+17,NA,HRajshri,1868
#Demonetization and the Indian Economy An Interview by Doordarshan with Sri S.Gurumurthy https://t.co/LdeBCADAeR,FALSE,0,NA,23-11-2016 18:18,FALSE,NA,8.0149E+17,NA,AllinoneIndia,0
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",FALSE,0,NA,23-11-2016 18:17,FALSE,NA,8.0149E+17,NA,manickam_sm,11
"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",FALSE,0,NA,23-11-2016 18:17,FALSE,NA,8.0149E+17,NA,SanalSudev,12
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,FALSE,0,NA,23-11-2016 18:17,FALSE,NA,8.0149E+17,NA,VaidyaPriyam,30
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental…,FALSE,0,NA,23-11-2016 18:17,FALSE,NA,8.0149E+17,NA,imprakrut,2
"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m…",FALSE,0,NA,23-11-2016 18:16,FALSE,NA,8.0149E+17,NA,everG3,1
RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,23-11-2016 18:16,FALSE,NA,8.0149E+17,NA,Myth_Busterz,66
Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia… https://t.co/Axqd8FOwpK,FALSE,0,NA,23-11-2016 18:16,TRUE,NA,8.0149E+17,NA,ganeshjoshibjp,0
